bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
23194,My Story as told by Water: Confessions  Druidic Rants  Reflections  Bird-watchings  Fish-stalkings  Visions  Songs and Prayers Refracting Light  from Living Rivers  in the Age of the Industrial Dark,David James Duncan,4.1,1578050499,9.78158E+12,eng,304.0,679,53,7/17/2001,Sierra Club Books
18736,Going to Pieces Without Falling Apart: A Buddhist Perspective on Wholeness,Mark Epstein/Charlie Conrad,3.9,0767902351,9.78077E+12,eng,200.0,4473,228,06/01/1999,Harmony
24215,Alice's Adventures in Wonderland: A Pop-Up Adaptation,Robert Sabuda/Lewis Carroll,4.33,0689847432,9.78069E+12,en-US,12.0,21875,111,10/01/2003,Little Simon
24062,The Deep (Dive Trilogy),Gordon Korman,3.78,0613674839,9.78061E+12,eng,148.0,0,0,07/01/2003,Turtleback Books
27626,Women  Cats: The History of a Love Affair,Michelle Lovric/Lisa Pentreath,4.23,1556525133,9.78156E+12,eng,66.0,13,1,09/01/2003,Chicago Review Press
41457,Hitty  Her First Hundred Years,Rachel Field/Dorothy P. Lathrop,3.86,0689822847,9.78069E+12,eng,256.0,7097,292,09/01/1998,Aladdin
12623,Perilous Power: The Middle East & US Foreign Policy,Noam Chomsky/Gilbert Achcar/Stephan R. Shalom,4.05,1594513120,9.78159E+12,en-GB,242.0,270,16,9/15/2006,Routledge
25355,Art Out of Time: Unknown Comics Visionaries  1900-1969,Dan Nadel,4.05,0810958384,9.78081E+12,eng,320.0,226,24,06/01/2006,Abrams
28991,Bad Haircut: Stories of the Seventies,Tom Perrotta,3.7,042515954X,9.78043E+12,eng,240.0,1546,110,04/01/1997,Berkley Trade
23814,King Solomon's Mines (Allan Quatermain  #1),H. Rider Haggard,3.8,0812966295,9.78081E+12,eng,264.0,34623,1168,12/10/2002,Modern Library
29907,Republic,Plato/Benjamin Jowett/Elizabeth Watson Scharffenberger,3.94,1593080972,9.78159E+12,eng,496.0,392,33,08/01/2005,Barnes  Noble Classics
14684,The Charterhouse of Parma,Stendhal/Roger Pearson/Margaret Mauldon,3.82,0192839578,9.78019E+12,eng,560.0,51,8,12/09/1999,Oxford University Press
15584,Cosmos,Witold Gombrowicz/Danuta Borchardt,4.03,0300108486,9.7803E+12,eng,208.0,1896,129,10/10/2005,Yale University Press
3438,The Curious Incident of the Dog In the Night-time,Mark Haddon,3.88,0099456761,9.7801E+12,eng,268.0,6124,754,04/01/2004,Red Fox
22061,Oasis (On the Road to Perdition  #1),Max Allan Collins/Steve Lieber/Josef Rubinstein/Rob Leigh/José Luis García-López/Bob Lappan,3.55,1401200680,9.7814E+12,eng,96.0,76,5,05/01/2003,DC Comics
5821,Casino Royale,Ian Fleming,3.73,0141187581,9.78014E+12,eng,181.0,371,43,06/03/2004,Penguin Books  Limited (UK)
29160,Brothers in Arms (Dragonlance: Raistlin Chronicles  #2),Margaret Weis/Don Perrin,4.05,0786914297,9.78079E+12,eng,476.0,6387,66,08/01/1999,Wizards of the Coast
18240,War and Peace,Leo Tolstoy,4.11,3895086908,9.7839E+12,en-US,1500.0,126,9,05/09/1999,Konemann
27719,The Night of Wishes,Michael Ende/Heike Schwarzbauer/Rick Takvorian/Regina Kehn/Regina Jehn,4.12,0374455031,9.78037E+12,eng,216.0,3014,56,4/17/1995,Farrar  Straus and Giroux (BYR)
8930,Jamie's Italy,Jamie Oliver/David Loftus/Chris Terry,4.01,1401301959,9.7814E+12,eng,320.0,7653,90,11/14/2006,Hachette Books
27769,L'Étranger,Albert Camus,3.98,207030602X,9.78207E+12,fre,207.0,688,50,03/01/2005,Editions Gallimard
41092,The Shores of Another Sea (Classics of Modern Science Fiction 3),Chad Oliver/George Zebrowski/Isaac Asimov,3.55,0517551861,9.78052E+12,eng,214.0,37,6,7/25/1984,Random House Value Publishing
13104,The Celestine Prophecy: A Pocket Guide to the Nine Insights,James Redfield,3.87,0446912069,9.78045E+12,eng,68.0,1256,100,12/02/2005,Warner Books (NY)
5309,The Life and Times of Scrooge McDuck,Don Rosa,4.67,0911903968,9.78091E+12,eng,266.0,2467,149,06/01/2005,Gemstone Publishing
28913,Never Go Back,Robert Goddard,3.71,0552152110,9.78055E+12,eng,464.0,1221,85,10/23/2006,Corgi
17837,Мастер и Маргарита,Mikhail Bulgakov/Михаил Булгаков,4.3,5040019521,9.78504E+12,rus,640.0,10,1,9/28/2004,Эксмо
27851,Data Structures and Algorithm Analysis in C,Mark Allen Weiss,3.85,0201498405,9.7802E+12,eng,528.0,120,11,9/19/1996,Pearson
37262,Dark Horse Deluxe Journal: Craig Thompson's Angels and Demons,Craig Thompson,3.52,1593070691,9.78159E+12,eng,128.0,46,1,12/30/2003,Dark Horse
1823,Them: Adventures with Extremists,Jon Ronson,3.95,0743233212,9.78074E+12,eng,336.0,11990,831,01/07/2003,Simon  Schuster
11432,Reunion (Redemption  #5),Karen Kingsbury/Gary Smalley,4.5,0842386882,9.78084E+12,en-US,400.0,12509,271,07/01/2004,Tyndale House Publishers
14605,Edie: Girl on Fire,David Weisman/Melissa Painter,4.22,0811855260,9.78081E+12,eng,192.0,727,19,11/02/2006,Chronicle Books
